Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,5,primera_division,20,13,1,0,0,12,4,0,4,0,0,0,2.8,0,4,0,0,0,6,4,0,4,0,0,0,2.8,0,4,0,0,0,2.8,2.8,,
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,5,primera_division,20,13,1,0,0,11,4,0,4,0,0,0,2.8,0,4,0,0,0,8,4,0,4,0,0,0,2.8,0,4,0,0,0,2.8,2.8,,
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,6,primera_division,20,13,0,1,0,3,15,5,0,0,5,0,9.0,5,0,0,5,0,19,0,0,0,5,0,5,0.0,0,0,5,0,5,9.0,0.0,,
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,6,primera_division,20,13,1,1,1,7,5,0,5,0,5,5,3.0,0,5,0,5,5,6,5,0,5,0,5,5,3.0,0,5,0,5,5,3.0,3.0,,
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,6,primera_division,20,13,1,1,1,11,5,0,5,0,5,5,3.0,0,5,0,5,5,14,5,0,5,0,5,5,3.0,0,5,0,5,5,3.0,3.0,,
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,6,primera_division,20,13,2,1,4,18,0,0,0,5,5,20,0.0,0,0,5,5,20,5,15,5,0,0,20,5,9.0,5,0,0,20,5,0.0,9.0,,
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,6,primera_division,20,13,1,0,0,8,5,0,5,0,0,0,3.0,0,5,0,0,0,12,5,0,5,0,0,0,3.0,0,5,0,0,0,3.0,3.0,,
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,6,primera_division,20,13,2,1,2,20,0,0,0,5,5,10,0.0,0,0,5,5,10,4,15,5,0,0,10,5,9.0,5,0,0,10,5,0.0,9.0,,
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,6,primera_division,20,13,0,4,2,2,15,5,0,0,20,10,9.0,5,0,0,20,10,17,0,0,0,5,10,20,0.0,0,0,5,10,20,9.0,0.0,,
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,6,primera_division,20,13,0,3,0,1,15,5,0,0,15,0,9.0,5,0,0,15,0,16,0,0,0,5,0,15,0.0,0,0,5,0,15,9.0,0.0,,
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,6,primera_division,20,13,1,0,0,9,5,0,5,0,0,0,3.0,0,5,0,0,0,15,5,0,5,0,0,0,3.0,0,5,0,0,0,3.0,3.0,,
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,6,primera_division,20,13,1,0,0,10,5,0,5,0,0,0,3.0,0,5,0,0,0,13,5,0,5,0,0,0,3.0,0,5,0,0,0,3.0,3.0,,
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,7,primera_division,20,13,0,1,0,3,18,6,0,0,6,0,9.0,6,0,0,6,0,19,0,0,0,6,0,6,0.0,0,0,6,0,6,9.0,0.0,,
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,7,primera_division,20,13,1,1,1,14,6,0,6,0,6,6,3.0,0,6,0,6,6,15,6,0,6,0,6,6,3.0,0,6,0,6,6,3.0,3.0,,
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,7,primera_division,20,13,1,1,1,10,6,0,6,0,6,6,3.0,0,6,0,6,6,7,6,0,6,0,6,6,3.0,0,6,0,6,6,3.0,3.0,,
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,7,primera_division,20,13,2,1,4,18,0,0,0,6,6,24,0.0,0,0,6,6,24,5,18,6,0,0,24,6,9.0,6,0,0,24,6,0.0,9.0,,
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,7,primera_division,20,13,1,0,0,13,6,0,6,0,0,0,3.0,0,6,0,0,0,9,6,0,6,0,0,0,3.0,0,6,0,0,0,3.0,3.0,,
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,7,primera_division,20,13,2,1,2,20,0,0,0,6,6,12,0.0,0,0,6,6,12,4,18,6,0,0,12,6,9.0,6,0,0,12,6,0.0,9.0,,
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,7,primera_division,20,13,0,4,2,2,18,6,0,0,24,12,9.0,6,0,0,24,12,17,0,0,0,6,12,24,0.0,0,0,6,12,24,9.0,0.0,,
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,7,primera_division,20,13,0,3,0,1,18,6,0,0,18,0,9.0,6,0,0,18,0,16,0,0,0,6,0,18,0.0,0,0,6,0,18,9.0,0.0,,
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,7,primera_division,20,13,1,0,0,12,6,0,6,0,0,0,3.0,0,6,0,0,0,6,6,0,6,0,0,0,3.0,0,6,0,0,0,3.0,3.0,,
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,7,primera_division,20,13,1,0,0,11,6,0,6,0,0,0,3.0,0,6,0,0,0,8,6,0,6,0,0,0,3.0,0,6,0,0,0,3.0,3.0,,
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,8,primera_division,20,13,0,1,0,3,21,7,0,0,7,0,9.0,7,0,0,7,0,19,0,0,0,7,0,7,0.0,0,0,7,0,7,9.0,0.0,,
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,8,primera_division,20,13,1,1,1,7,7,0,7,0,7,7,3.0,0,7,0,7,7,6,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,8,primera_division,20,13,1,1,1,11,7,0,7,0,7,7,3.0,0,7,0,7,7,14,7,0,7,0,7,7,3.0,0,7,0,7,7,3.0,3.0,,
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,8,primera_division,20,13,2,1,4,18,0,0,0,7,7,28,0.0,0,0,7,7,28,5,21,7,0,0,28,7,9.0,7,0,0,28,7,0.0,9.0,,
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,8,primera_division,20,13,1,0,0,8,7,0,7,0,0,0,3.0,0,7,0,0,0,12,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,8,primera_division,20,13,2,1,2,20,0,0,0,7,7,14,0.0,0,0,7,7,14,4,21,7,0,0,14,7,9.0,7,0,0,14,7,0.0,9.0,,
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,8,primera_division,20,13,0,4,2,2,21,7,0,0,28,14,9.0,7,0,0,28,14,17,0,0,0,7,14,28,0.0,0,0,7,14,28,9.0,0.0,,
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,8,primera_division,20,13,0,3,0,1,21,7,0,0,21,0,9.0,7,0,0,21,0,16,0,0,0,7,0,21,0.0,0,0,7,0,21,9.0,0.0,,
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,8,primera_division,20,13,1,0,0,9,7,0,7,0,0,0,3.0,0,7,0,0,0,15,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,8,primera_division,20,13,1,0,0,10,7,0,7,0,0,0,3.0,0,7,0,0,0,13,7,0,7,0,0,0,3.0,0,7,0,0,0,3.0,3.0,,
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,9,primera_division,20,13,0,1,0,3,24,8,0,0,8,0,9.0,8,0,0,8,0,19,0,0,0,8,0,8,0.0,0,0,8,0,8,9.0,0.0,,
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,9,primera_division,20,13,1,1,1,14,8,0,8,0,8,8,3.0,0,8,0,8,8,15,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,9,primera_division,20,13,1,1,1,10,8,0,8,0,8,8,3.0,0,8,0,8,8,7,8,0,8,0,8,8,3.0,0,8,0,8,8,3.0,3.0,,
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,9,primera_division,20,13,2,1,4,18,0,0,0,8,8,32,0.0,0,0,8,8,32,5,24,8,0,0,32,8,9.0,8,0,0,32,8,0.0,9.0,,
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,9,primera_division,20,13,1,0,0,13,8,0,8,0,0,0,3.0,0,8,0,0,0,9,8,0,8,0,0,0,3.0,0,8,0,0,0,3.0,3.0,,
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,9,primera_division,20,13,2,1,2,20,0,0,0,8,8,16,0.0,0,0,8,8,16,4,24,8,0,0,16,8,9.0,8,0,0,16,8,0.0,9.0,,
