Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Stuttgart,Mainz 05,20:30,https://www.besoccer.com/match/stuttgart/mainz-amat/202215655,,2022,13,bundesliga
Wolfsburg,B. Dortmund,15:30,https://www.besoccer.com/match/wolfsburg/borussia-dortmund/202215653,,2022,13,bundesliga
Hertha BSC,FC Augsburg,15:30,https://www.besoccer.com/match/hertha-bsc/fc-augsburg/202215656,,2022,13,bundesliga
Köln,B. Mönchengladbach,15:30,https://www.besoccer.com/match/1-fc-koln/borussia-monchengla/202215657,,2022,13,bundesliga
VfL Bochum,SC Freiburg,15:30,https://www.besoccer.com/match/bochum/sc-freiburg/202215658,,2022,13,bundesliga
Greuther Fürth,Hoffenheim,15:30,https://www.besoccer.com/match/greuther-furth/tsg-1899-hoffenheim/202215659,,2022,13,bundesliga
Bayern München,Arminia Bielefeld,18:30,https://www.besoccer.com/match/bayern-munchen/arminia-bielefeld/202215651,,2022,13,bundesliga
Eintracht Frankfurt,Union Berlin,15:30,https://www.besoccer.com/match/eintracht-frankfurt/1-fc-union-berlin/202215654,,2022,13,bundesliga
RB Leipzig,B. Leverkusen,17:30,https://www.besoccer.com/match/rb-leipzig/bayer-leverkusen/202215652,,2022,13,bundesliga
