Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Jahn Regensburg,Dynamo Dresden,18:30,https://www.besoccer.com/match/ssv-jahn-regensburg/sg-dynamo-dresden/202216372,,2022,15,2_liga
Fortuna Düsseldorf,Heidenheim,18:30,https://www.besoccer.com/match/fortuna-dusseldorf/heidenheim/202216367,,2022,15,2_liga
Schalke 04,Sandhausen,13:30,https://www.besoccer.com/match/schalke-04/sv-sandhausen/202216364,,2022,15,2_liga
Karlsruher SC,Hannover 96,13:30,https://www.besoccer.com/match/karlsruher-sc/hannover-96/202216368,,2022,15,2_liga
Erzgebirge Aue,Darmstadt 98,13:30,https://www.besoccer.com/match/fc-erzgebirge-aue/darmstadt-98/202216371,,2022,15,2_liga
Holstein Kiel,Werder Bremen,20:30,https://www.besoccer.com/match/holstein-kiel/werder-bremen/202216365,,2022,15,2_liga
Hamburger SV,Ingolstadt 04,13:30,https://www.besoccer.com/match/hamburger-sv/fc-ingolstadt-04/202216366,,2022,15,2_liga
Paderborn,Hansa Rostock,13:30,https://www.besoccer.com/match/paderborn/hansa-rostock/202216369,,2022,15,2_liga
Nürnberg,FC St. Pauli,13:30,https://www.besoccer.com/match/fc-nurnberg/st-pauli/202216370,,2022,15,2_liga
