Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Ajaccio,Valenciennes,21:00,https://www.besoccer.com/match/ajaccio/valenciennes-afc/202216704,,2022,17,ligue_2
Amiens SC,Dunkerque,21:00,https://www.besoccer.com/match/amiens-sc/dunkerque/202216705,,2022,17,ligue_2
Grenoble,Le Havre,21:00,https://www.besoccer.com/match/grenoble-foot-38/havre-ac/202216707,,2022,17,ligue_2
Guingamp,Dijon FCO,21:00,https://www.besoccer.com/match/guingamp/dijon-fco/202216708,,2022,17,ligue_2
Paris FC,Bastia,21:00,https://www.besoccer.com/match/paris-sg/bastia/202216710,,2022,17,ligue_2
Quevilly-Rouen,Nancy,21:00,https://www.besoccer.com/match/quevilly/nancy/202216711,,2022,17,ligue_2
Rodez,Nîmes,21:00,https://www.besoccer.com/match/rodez/nimes-olympique/202216712,,2022,17,ligue_2
Sochaux,Pau FC,21:00,https://www.besoccer.com/match/sochaux/pau/202216713,,2022,17,ligue_2
Auxerre,Caen,15:00,https://www.besoccer.com/match/auxerre/caen/202216706,,2022,17,ligue_2
Niort,Toulouse,20:45,https://www.besoccer.com/match/chamois-niortais/toulouse-fc/202216709,,2022,17,ligue_2
