Home_Team,Away_Team,Time,Link,Results,Season,Round,League
Farense,Casa Pia,19:00,https://www.besoccer.com/match/farense/casa-pia/202235455,,2022,12,segunda_liga
Chaves,Mafra,12:00,https://www.besoccer.com/match/chaves/mafra/202235458,,2022,12,segunda_liga
Varzim,Penafiel,15:00,https://www.besoccer.com/match/varzim/penafiel/202235461,,2022,12,segunda_liga
Academico Viseu,Vilafranquense,16:30,https://www.besoccer.com/match/academico-viseu/vilafranquense/202235460,,2022,12,segunda_liga
Feirense,Porto II,12:00,https://www.besoccer.com/match/feirense/porto-ii/202235457,,2022,12,segunda_liga
Rio Ave,Nacional,15:00,https://www.besoccer.com/match/rio-ave/nacional/202235454,,2022,12,segunda_liga
Leixões,Trofense,16:30,https://www.besoccer.com/match/leixoes/trofense/202235459,,2022,12,segunda_liga
Académica,SC Covilha ,20:30,https://www.besoccer.com/match/academica/sporting-covilha/202235456,,2022,12,segunda_liga
CF Estrela,Benfica II,19:00,https://www.besoccer.com/match/cf-estrela-de-amadora/benfica-ii/202235462,,2022,12,segunda_liga
