Home_Team,Away_Team,Time,Link,Results,Season,Round,League
NEC Nijmegen,Cambuur,20:00,https://www.besoccer.com/match/nec/sc-cambuur-leeuwarden/20222443,,2022,14,eredivisie
Fortuna Sittard,Groningen,18:45,https://www.besoccer.com/match/fortuna-sittard/fc-groningen/20222445,,2022,14,eredivisie
PEC Zwolle,RKC Waalwijk,20:00,https://www.besoccer.com/match/fc-zwolle/rkc-waalwijk/20222444,,2022,14,eredivisie
Willem II,Go Ahead Eagles,21:00,https://www.besoccer.com/match/willem-ii/go-ahead-eagles/20222446,,2022,14,eredivisie
Sparta Rotterdam,Ajax,12:15,https://www.besoccer.com/match/sparta-rotterdam/ajax/20222447,,2022,14,eredivisie
Twente 1965,Feyenoord,14:30,https://www.besoccer.com/match/fc-twente-1965/feyenoord/20222448,,2022,14,eredivisie
Utrecht,Heracles,14:30,https://www.besoccer.com/match/fc-utrecht/heracles/20222449,,2022,14,eredivisie
Heerenveen,PSV,16:45,https://www.besoccer.com/match/heerenveen/psv/20222450,,2022,14,eredivisie
Vitesse,AZ Alkmaar,20:00,https://www.besoccer.com/match/vitesse/az/20222451,,2022,14,eredivisie
