Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,3,bundesliga,18,11,1,1,1,12,2,0,2,0,2,2,1.8,0,2,0,2,2,11,2,0,2,0,2,2,1.8,0,2,0,2,2,1.8,1.8,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,3,bundesliga,18,11,0,5,1,5,6,2,0,0,10,2,5.4,2,0,0,10,2,18,0,0,0,2,2,10,0.0,0,0,2,2,10,5.4,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,3,bundesliga,18,11,2,0,4,17,0,0,0,2,0,8,0.0,0,0,2,0,8,3,6,2,0,0,8,0,5.4,2,0,0,8,0,0.0,5.4,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,3,bundesliga,18,11,1,0,0,8,2,0,2,0,0,0,1.8,0,2,0,0,0,10,2,0,2,0,0,0,1.8,0,2,0,0,0,1.8,1.8,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,3,bundesliga,18,11,0,5,2,4,6,2,0,0,10,4,5.4,2,0,0,10,4,14,0,0,0,2,4,10,0.0,0,0,2,4,10,5.4,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,3,bundesliga,18,11,0,1,0,1,6,2,0,0,2,0,5.4,2,0,0,2,0,13,0,0,0,2,0,2,0.0,0,0,2,0,2,5.4,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,3,bundesliga,18,11,0,3,1,6,6,2,0,0,6,2,5.4,2,0,0,6,2,15,0,0,0,2,2,6,0.0,0,0,2,2,6,5.4,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,4,bundesliga,18,11,1,1,1,12,3,0,3,0,3,3,2.4,0,3,0,3,3,10,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,4,bundesliga,18,11,0,1,0,2,9,3,0,0,3,0,7.2,3,0,0,3,0,16,0,0,0,3,0,3,0.0,0,0,3,0,3,7.2,0.0,,
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,4,bundesliga,18,11,1,1,1,7,3,0,3,0,3,3,2.4,0,3,0,3,3,8,3,0,3,0,3,3,2.4,0,3,0,3,3,2.4,2.4,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,4,bundesliga,18,11,0,5,1,5,9,3,0,0,15,3,7.2,3,0,0,15,3,18,0,0,0,3,3,15,0.0,0,0,3,3,15,7.2,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,4,bundesliga,18,11,2,0,4,17,0,0,0,3,0,12,0.0,0,0,3,0,12,3,9,3,0,0,12,0,7.2,3,0,0,12,0,0.0,7.2,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,4,bundesliga,18,11,1,0,0,11,3,0,3,0,0,0,2.4,0,3,0,0,0,9,3,0,3,0,0,0,2.4,0,3,0,0,0,2.4,2.4,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,4,bundesliga,18,11,0,5,2,4,9,3,0,0,15,6,7.2,3,0,0,15,6,14,0,0,0,3,6,15,0.0,0,0,3,6,15,7.2,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,4,bundesliga,18,11,0,1,0,1,9,3,0,0,3,0,7.2,3,0,0,3,0,13,0,0,0,3,0,3,0.0,0,0,3,0,3,7.2,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,4,bundesliga,18,11,0,3,1,6,9,3,0,0,9,3,7.2,3,0,0,9,3,15,0,0,0,3,3,9,0.0,0,0,3,3,9,7.2,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,5,bundesliga,18,11,1,1,1,7,4,0,4,0,4,4,2.8,0,4,0,4,4,9,4,0,4,0,4,4,2.8,0,4,0,4,4,2.8,2.8,,
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,5,bundesliga,18,11,0,1,0,2,12,4,0,0,4,0,8.4,4,0,0,4,0,16,0,0,0,4,0,4,0.0,0,0,4,0,4,8.4,0.0,,
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,5,bundesliga,18,11,1,1,1,12,4,0,4,0,4,4,2.8,0,4,0,4,4,11,4,0,4,0,4,4,2.8,0,4,0,4,4,2.8,2.8,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,5,bundesliga,18,11,0,5,1,5,12,4,0,0,20,4,8.4,4,0,0,20,4,18,0,0,0,4,4,20,0.0,0,0,4,4,20,8.4,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,5,bundesliga,18,11,2,0,4,17,0,0,0,4,0,16,0.0,0,0,4,0,16,3,12,4,0,0,16,0,8.4,4,0,0,16,0,0.0,8.4,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,5,bundesliga,18,11,1,0,0,8,4,0,4,0,0,0,2.8,0,4,0,0,0,10,4,0,4,0,0,0,2.8,0,4,0,0,0,2.8,2.8,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,5,bundesliga,18,11,0,5,2,4,12,4,0,0,20,8,8.4,4,0,0,20,8,14,0,0,0,4,8,20,0.0,0,0,4,8,20,8.4,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,5,bundesliga,18,11,0,1,0,1,12,4,0,0,4,0,8.4,4,0,0,4,0,13,0,0,0,4,0,4,0.0,0,0,4,0,4,8.4,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,5,bundesliga,18,11,0,3,1,6,12,4,0,0,12,4,8.4,4,0,0,12,4,15,0,0,0,4,4,12,0.0,0,0,4,4,12,8.4,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,6,bundesliga,18,11,1,1,1,12,5,0,5,0,5,5,3.0,0,5,0,5,5,10,5,0,5,0,5,5,3.0,0,5,0,5,5,3.0,3.0,,
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,6,bundesliga,18,11,0,1,0,2,15,5,0,0,5,0,9.0,5,0,0,5,0,16,0,0,0,5,0,5,0.0,0,0,5,0,5,9.0,0.0,,
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,6,bundesliga,18,11,1,1,1,7,5,0,5,0,5,5,3.0,0,5,0,5,5,8,5,0,5,0,5,5,3.0,0,5,0,5,5,3.0,3.0,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,6,bundesliga,18,11,0,5,1,5,15,5,0,0,25,5,9.0,5,0,0,25,5,18,0,0,0,5,5,25,0.0,0,0,5,5,25,9.0,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,6,bundesliga,18,11,2,0,4,17,0,0,0,5,0,20,0.0,0,0,5,0,20,3,15,5,0,0,20,0,9.0,5,0,0,20,0,0.0,9.0,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,6,bundesliga,18,11,1,0,0,11,5,0,5,0,0,0,3.0,0,5,0,0,0,9,5,0,5,0,0,0,3.0,0,5,0,0,0,3.0,3.0,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,6,bundesliga,18,11,0,5,2,4,15,5,0,0,25,10,9.0,5,0,0,25,10,14,0,0,0,5,10,25,0.0,0,0,5,10,25,9.0,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,6,bundesliga,18,11,0,1,0,1,15,5,0,0,5,0,9.0,5,0,0,5,0,13,0,0,0,5,0,5,0.0,0,0,5,0,5,9.0,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,6,bundesliga,18,11,0,3,1,6,15,5,0,0,15,5,9.0,5,0,0,15,5,15,0,0,0,5,5,15,0.0,0,0,5,5,15,9.0,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,7,bundesliga,18,11,1,1,1,7,6,0,6,0,6,6,3.0,0,6,0,6,6,9,6,0,6,0,6,6,3.0,0,6,0,6,6,3.0,3.0,,
