Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,3,serie_a,20,12,0,4,0,7,6,2,0,0,8,0,5.4,2,0,0,8,0,14,0,0,0,2,0,8,0.0,0,0,2,0,8,5.4,0.0,,
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,3,serie_a,20,12,2,1,3,16,0,0,0,2,2,6,0.0,0,0,2,2,6,3,6,2,0,0,6,2,5.4,2,0,0,6,2,0.0,5.4,,
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,3,serie_a,20,12,2,1,2,18,0,0,0,2,2,4,0.0,0,0,2,2,4,1,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,,
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,3,serie_a,20,12,0,3,2,2,6,2,0,0,6,4,5.4,2,0,0,6,4,13,0,0,0,2,4,6,0.0,0,0,2,4,6,5.4,0.0,,
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,3,serie_a,20,12,1,2,2,9,2,0,2,0,4,4,1.8,0,2,0,4,4,10,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,3,serie_a,20,12,0,2,0,6,6,2,0,0,4,0,5.4,2,0,0,4,0,17,0,0,0,2,0,4,0.0,0,0,2,0,4,5.4,0.0,,
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,3,serie_a,20,12,0,3,1,8,6,2,0,0,6,2,5.4,2,0,0,6,2,19,0,0,0,2,2,6,0.0,0,0,2,2,6,5.4,0.0,,
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,3,serie_a,20,12,1,2,2,12,2,0,2,0,4,4,1.8,0,2,0,4,4,11,2,0,2,0,4,4,1.8,0,2,0,4,4,1.8,1.8,,
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,3,serie_a,20,12,2,0,1,15,0,0,0,2,0,2,0.0,0,0,2,0,2,5,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,4,serie_a,20,12,2,2,3,20,0,0,0,3,6,9,0.0,0,0,3,6,9,4,9,3,0,0,9,6,7.2,3,0,0,9,6,0.0,7.2,,
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,4,serie_a,20,12,0,4,0,7,9,3,0,0,12,0,7.2,3,0,0,12,0,14,0,0,0,3,0,12,0.0,0,0,3,0,12,7.2,0.0,,
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,4,serie_a,20,12,2,1,3,16,0,0,0,3,3,9,0.0,0,0,3,3,9,3,9,3,0,0,9,3,7.2,3,0,0,9,3,0.0,7.2,,
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,4,serie_a,20,12,2,1,2,18,0,0,0,3,3,6,0.0,0,0,3,3,6,1,9,3,0,0,6,3,7.2,3,0,0,6,3,0.0,7.2,,
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,4,serie_a,20,12,0,3,2,2,9,3,0,0,9,6,7.2,3,0,0,9,6,13,0,0,0,3,6,9,0.0,0,0,3,6,9,7.2,0.0,,
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,4,serie_a,20,12,1,2,2,12,3,0,3,0,6,6,2.4,0,3,0,6,6,11,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,4,serie_a,20,12,0,2,0,6,9,3,0,0,6,0,7.2,3,0,0,6,0,17,0,0,0,3,0,6,0.0,0,0,3,0,6,7.2,0.0,,
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,4,serie_a,20,12,0,3,1,8,9,3,0,0,9,3,7.2,3,0,0,9,3,19,0,0,0,3,3,9,0.0,0,0,3,3,9,7.2,0.0,,
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,4,serie_a,20,12,1,2,2,9,3,0,3,0,6,6,2.4,0,3,0,6,6,10,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,4,serie_a,20,12,2,0,1,15,0,0,0,3,0,3,0.0,0,0,3,0,3,5,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,5,serie_a,20,12,2,2,3,20,0,0,0,4,8,12,0.0,0,0,4,8,12,4,12,4,0,0,12,8,8.4,4,0,0,12,8,0.0,8.4,,
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,5,serie_a,20,12,0,4,0,7,12,4,0,0,16,0,8.4,4,0,0,16,0,14,0,0,0,4,0,16,0.0,0,0,4,0,16,8.4,0.0,,
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,5,serie_a,20,12,2,1,3,16,0,0,0,4,4,12,0.0,0,0,4,4,12,3,12,4,0,0,12,4,8.4,4,0,0,12,4,0.0,8.4,,
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,5,serie_a,20,12,2,1,2,18,0,0,0,4,4,8,0.0,0,0,4,4,8,1,12,4,0,0,8,4,8.4,4,0,0,8,4,0.0,8.4,,
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,5,serie_a,20,12,0,3,2,2,12,4,0,0,12,8,8.4,4,0,0,12,8,13,0,0,0,4,8,12,0.0,0,0,4,8,12,8.4,0.0,,
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,5,serie_a,20,12,1,2,2,9,4,0,4,0,8,8,2.8,0,4,0,8,8,10,4,0,4,0,8,8,2.8,0,4,0,8,8,2.8,2.8,,
