Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,5,primeira_liga,18,11,0,2,0,9,12,4,0,0,8,0,8.4,4,0,0,8,0,17,0,0,0,4,0,8,0.0,0,0,4,0,8,8.4,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,5,primeira_liga,18,11,0,3,0,7,12,4,0,0,12,0,8.4,4,0,0,12,0,16,0,0,0,4,0,12,0.0,0,0,4,0,12,8.4,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,6,primeira_liga,18,11,0,3,0,9,15,5,0,0,15,0,9.0,5,0,0,15,0,16,0,0,0,5,0,15,0.0,0,0,5,0,15,9.0,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,6,primeira_liga,18,11,2,0,2,18,0,0,0,5,0,10,0.0,0,0,5,0,10,1,15,5,0,0,10,0,9.0,5,0,0,10,0,0.0,9.0,,
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,6,primeira_liga,18,11,2,1,2,14,0,0,0,5,5,10,0.0,0,0,5,5,10,7,15,5,0,0,10,5,9.0,5,0,0,10,5,0.0,9.0,,
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,6,primeira_liga,18,11,2,0,2,13,0,0,0,5,0,10,0.0,0,0,5,0,10,5,15,5,0,0,10,0,9.0,5,0,0,10,0,0.0,9.0,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,6,primeira_liga,18,11,2,0,1,10,0,0,0,5,0,5,0.0,0,0,5,0,5,2,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,6,primeira_liga,18,11,0,3,0,3,15,5,0,0,15,0,9.0,5,0,0,15,0,15,0,0,0,5,0,15,0.0,0,0,5,0,15,9.0,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,6,primeira_liga,18,11,0,2,0,4,15,5,0,0,10,0,9.0,5,0,0,10,0,17,0,0,0,5,0,10,0.0,0,0,5,0,10,9.0,0.0,,
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,6,primeira_liga,18,11,0,2,0,8,15,5,0,0,10,0,9.0,5,0,0,10,0,11,0,0,0,5,0,10,0.0,0,0,5,0,10,9.0,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,6,primeira_liga,18,11,0,3,0,6,15,5,0,0,15,0,9.0,5,0,0,15,0,12,0,0,0,5,0,15,0.0,0,0,5,0,15,9.0,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,7,primeira_liga,18,11,0,3,0,8,18,6,0,0,18,0,9.0,6,0,0,18,0,12,0,0,0,6,0,18,0.0,0,0,6,0,18,9.0,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,7,primeira_liga,18,11,2,0,2,18,0,0,0,6,0,12,0.0,0,0,6,0,12,1,18,6,0,0,12,0,9.0,6,0,0,12,0,0.0,9.0,,
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,7,primeira_liga,18,11,2,1,2,10,0,0,0,6,6,12,0.0,0,0,6,6,12,6,18,6,0,0,12,6,9.0,6,0,0,12,6,0.0,9.0,,
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,7,primeira_liga,18,11,2,0,2,15,0,0,0,6,0,12,0.0,0,0,6,0,12,4,18,6,0,0,12,0,9.0,6,0,0,12,0,0.0,9.0,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,7,primeira_liga,18,11,2,0,1,14,0,0,0,6,0,6,0.0,0,0,6,0,6,9,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,7,primeira_liga,18,11,0,3,0,2,18,6,0,0,18,0,9.0,6,0,0,18,0,13,0,0,0,6,0,18,0.0,0,0,6,0,18,9.0,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,7,primeira_liga,18,11,0,2,0,3,18,6,0,0,12,0,9.0,6,0,0,12,0,11,0,0,0,6,0,12,0.0,0,0,6,0,12,9.0,0.0,,
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,7,primeira_liga,18,11,0,2,0,7,18,6,0,0,12,0,9.0,6,0,0,12,0,17,0,0,0,6,0,12,0.0,0,0,6,0,12,9.0,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,7,primeira_liga,18,11,0,3,0,5,18,6,0,0,18,0,9.0,6,0,0,18,0,16,0,0,0,6,0,18,0.0,0,0,6,0,18,9.0,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,8,primeira_liga,18,11,0,3,0,7,21,7,0,0,21,0,9.0,7,0,0,21,0,16,0,0,0,7,0,21,0.0,0,0,7,0,21,9.0,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,8,primeira_liga,18,11,2,0,2,18,0,0,0,7,0,14,0.0,0,0,7,0,14,1,21,7,0,0,14,0,9.0,7,0,0,14,0,0.0,9.0,,
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,8,primeira_liga,18,11,2,1,2,14,0,0,0,7,7,14,0.0,0,0,7,7,14,5,21,7,0,0,14,7,9.0,7,0,0,14,7,0.0,9.0,,
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,8,primeira_liga,18,11,2,0,2,13,0,0,0,7,0,14,0.0,0,0,7,0,14,3,21,7,0,0,14,0,9.0,7,0,0,14,0,0.0,9.0,,
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,8,primeira_liga,18,11,2,0,1,10,0,0,0,7,0,7,0.0,0,0,7,0,7,8,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,8,primeira_liga,18,11,0,3,0,9,21,7,0,0,21,0,9.0,7,0,0,21,0,15,0,0,0,7,0,21,0.0,0,0,7,0,21,9.0,0.0,,
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,8,primeira_liga,18,11,0,2,0,2,21,7,0,0,14,0,9.0,7,0,0,14,0,17,0,0,0,7,0,14,0.0,0,0,7,0,14,9.0,0.0,,
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,8,primeira_liga,18,11,0,2,0,6,21,7,0,0,14,0,9.0,7,0,0,14,0,11,0,0,0,7,0,14,0.0,0,0,7,0,14,9.0,0.0,,
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,8,primeira_liga,18,11,0,3,0,4,21,7,0,0,21,0,9.0,7,0,0,21,0,12,0,0,0,7,0,21,0.0,0,0,7,0,21,9.0,0.0,,
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,9,primeira_liga,18,11,0,3,0,6,24,8,0,0,24,0,9.0,8,0,0,24,0,12,0,0,0,8,0,24,0.0,0,0,8,0,24,9.0,0.0,,
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,9,primeira_liga,18,11,2,0,2,18,0,0,0,8,0,16,0.0,0,0,8,0,16,1,24,8,0,0,16,0,9.0,8,0,0,16,0,0.0,9.0,,
