Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,3,eredivisie,18,13,2,0,2,18,0,0,0,2,0,4,0.0,0,0,2,0,4,2,6,2,0,0,4,0,5.4,2,0,0,4,0,0.0,5.4,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,3,eredivisie,18,13,0,2,1,3,6,2,0,0,4,2,5.4,2,0,0,4,2,12,0,0,0,2,2,4,0.0,0,0,2,2,4,5.4,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,3,eredivisie,18,13,0,5,0,8,6,2,0,0,10,0,5.4,2,0,0,10,0,11,0,0,0,2,0,10,0.0,0,0,2,0,10,5.4,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,3,eredivisie,18,13,2,1,2,15,0,0,0,2,2,4,0.0,0,0,2,2,4,9,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,3,eredivisie,18,13,2,0,1,13,0,0,0,2,0,2,0.0,0,0,2,0,2,5,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,3,eredivisie,18,13,0,4,0,6,6,2,0,0,8,0,5.4,2,0,0,8,0,16,0,0,0,2,0,8,0.0,0,0,2,0,8,5.4,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,3,eredivisie,18,13,2,0,4,14,0,0,0,2,0,8,0.0,0,0,2,0,8,7,6,2,0,0,8,0,5.4,2,0,0,8,0,0.0,5.4,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,4,eredivisie,18,13,2,0,1,11,0,0,0,3,0,3,0.0,0,0,3,0,3,3,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,4,eredivisie,18,13,0,1,0,1,9,3,0,0,3,0,7.2,3,0,0,3,0,14,0,0,0,3,0,3,0.0,0,0,3,0,3,7.2,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,4,eredivisie,18,13,2,0,2,18,0,0,0,3,0,6,0.0,0,0,3,0,6,9,9,3,0,0,6,0,7.2,3,0,0,6,0,0.0,7.2,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,4,eredivisie,18,13,0,2,1,2,9,3,0,0,6,3,7.2,3,0,0,6,3,16,0,0,0,3,3,6,0.0,0,0,3,3,6,7.2,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,4,eredivisie,18,13,0,5,0,7,9,3,0,0,15,0,7.2,3,0,0,15,0,17,0,0,0,3,0,15,0.0,0,0,3,0,15,7.2,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,4,eredivisie,18,13,2,1,2,13,0,0,0,3,3,6,0.0,0,0,3,3,6,8,9,3,0,0,6,3,7.2,3,0,0,6,3,0.0,7.2,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,4,eredivisie,18,13,2,0,1,15,0,0,0,3,0,3,0.0,0,0,3,0,3,4,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,4,eredivisie,18,13,0,4,0,5,9,3,0,0,12,0,7.2,3,0,0,12,0,12,0,0,0,3,0,12,0.0,0,0,3,0,12,7.2,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,4,eredivisie,18,13,2,0,4,10,0,0,0,3,0,12,0.0,0,0,3,0,12,6,9,3,0,0,12,0,7.2,3,0,0,12,0,0.0,7.2,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,5,eredivisie,18,13,2,0,1,17,0,0,0,4,0,4,0.0,0,0,4,0,4,2,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,5,eredivisie,18,13,0,1,0,1,12,4,0,0,4,0,8.4,4,0,0,4,0,10,0,0,0,4,0,4,0.0,0,0,4,0,4,8.4,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,5,eredivisie,18,13,2,0,2,18,0,0,0,4,0,8,0.0,0,0,4,0,8,8,12,4,0,0,8,0,8.4,4,0,0,8,0,0.0,8.4,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,5,eredivisie,18,13,0,2,1,9,12,4,0,0,8,4,8.4,4,0,0,8,4,12,0,0,0,4,4,8,0.0,0,0,4,4,8,8.4,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,5,eredivisie,18,13,0,5,0,6,12,4,0,0,20,0,8.4,4,0,0,20,0,11,0,0,0,4,0,20,0.0,0,0,4,0,20,8.4,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,5,eredivisie,18,13,2,1,2,15,0,0,0,4,4,8,0.0,0,0,4,4,8,7,12,4,0,0,8,4,8.4,4,0,0,8,4,0.0,8.4,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,5,eredivisie,18,13,2,0,1,13,0,0,0,4,0,4,0.0,0,0,4,0,4,3,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,5,eredivisie,18,13,0,4,0,4,12,4,0,0,16,0,8.4,4,0,0,16,0,16,0,0,0,4,0,16,0.0,0,0,4,0,16,8.4,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,5,eredivisie,18,13,2,0,4,14,0,0,0,4,0,16,0.0,0,0,4,0,16,5,12,4,0,0,16,0,8.4,4,0,0,16,0,0.0,8.4,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,6,eredivisie,18,13,2,0,1,11,0,0,0,5,0,5,0.0,0,0,5,0,5,9,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,6,eredivisie,18,13,0,1,0,1,15,5,0,0,5,0,9.0,5,0,0,5,0,14,0,0,0,5,0,5,0.0,0,0,5,0,5,9.0,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,6,eredivisie,18,13,2,0,2,18,0,0,0,5,0,10,0.0,0,0,5,0,10,7,15,5,0,0,10,0,9.0,5,0,0,10,0,0.0,9.0,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,6,eredivisie,18,13,0,2,1,8,15,5,0,0,10,5,9.0,5,0,0,10,5,16,0,0,0,5,5,10,0.0,0,0,5,5,10,9.0,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,6,eredivisie,18,13,0,5,0,5,15,5,0,0,25,0,9.0,5,0,0,25,0,17,0,0,0,5,0,25,0.0,0,0,5,0,25,9.0,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,6,eredivisie,18,13,2,1,2,13,0,0,0,5,5,10,0.0,0,0,5,5,10,6,15,5,0,0,10,5,9.0,5,0,0,10,5,0.0,9.0,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,6,eredivisie,18,13,2,0,1,15,0,0,0,5,0,5,0.0,0,0,5,0,5,2,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,6,eredivisie,18,13,0,4,0,3,15,5,0,0,20,0,9.0,5,0,0,20,0,12,0,0,0,5,0,20,0.0,0,0,5,0,20,9.0,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,6,eredivisie,18,13,2,0,4,10,0,0,0,5,0,20,0.0,0,0,5,0,20,4,15,5,0,0,20,0,9.0,5,0,0,20,0,0.0,9.0,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,7,eredivisie,18,13,2,0,1,17,0,0,0,6,0,6,0.0,0,0,6,0,6,8,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,7,eredivisie,18,13,0,1,0,1,18,6,0,0,6,0,9.0,6,0,0,6,0,10,0,0,0,6,0,6,0.0,0,0,6,0,6,9.0,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,7,eredivisie,18,13,2,0,2,18,0,0,0,6,0,12,0.0,0,0,6,0,12,6,18,6,0,0,12,0,9.0,6,0,0,12,0,0.0,9.0,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,7,eredivisie,18,13,0,2,1,7,18,6,0,0,12,6,9.0,6,0,0,12,6,12,0,0,0,6,6,12,0.0,0,0,6,6,12,9.0,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,7,eredivisie,18,13,0,5,0,4,18,6,0,0,30,0,9.0,6,0,0,30,0,11,0,0,0,6,0,30,0.0,0,0,6,0,30,9.0,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,7,eredivisie,18,13,2,1,2,15,0,0,0,6,6,12,0.0,0,0,6,6,12,5,18,6,0,0,12,6,9.0,6,0,0,12,6,0.0,9.0,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,7,eredivisie,18,13,2,0,1,13,0,0,0,6,0,6,0.0,0,0,6,0,6,9,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,7,eredivisie,18,13,0,4,0,2,18,6,0,0,24,0,9.0,6,0,0,24,0,16,0,0,0,6,0,24,0.0,0,0,6,0,24,9.0,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,7,eredivisie,18,13,2,0,4,14,0,0,0,6,0,24,0.0,0,0,6,0,24,3,18,6,0,0,24,0,9.0,6,0,0,24,0,0.0,9.0,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,8,eredivisie,18,13,2,0,1,11,0,0,0,7,0,7,0.0,0,0,7,0,7,7,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,8,eredivisie,18,13,0,1,0,1,21,7,0,0,7,0,9.0,7,0,0,7,0,14,0,0,0,7,0,7,0.0,0,0,7,0,7,9.0,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,8,eredivisie,18,13,2,0,2,18,0,0,0,7,0,14,0.0,0,0,7,0,14,5,21,7,0,0,14,0,9.0,7,0,0,14,0,0.0,9.0,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,8,eredivisie,18,13,0,2,1,6,21,7,0,0,14,7,9.0,7,0,0,14,7,16,0,0,0,7,7,14,0.0,0,0,7,7,14,9.0,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,8,eredivisie,18,13,0,5,0,3,21,7,0,0,35,0,9.0,7,0,0,35,0,17,0,0,0,7,0,35,0.0,0,0,7,0,35,9.0,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,8,eredivisie,18,13,2,1,2,13,0,0,0,7,7,14,0.0,0,0,7,7,14,4,21,7,0,0,14,7,9.0,7,0,0,14,7,0.0,9.0,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,8,eredivisie,18,13,2,0,1,15,0,0,0,7,0,7,0.0,0,0,7,0,7,8,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,8,eredivisie,18,13,0,4,0,9,21,7,0,0,28,0,9.0,7,0,0,28,0,12,0,0,0,7,0,28,0.0,0,0,7,0,28,9.0,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,8,eredivisie,18,13,2,0,4,10,0,0,0,7,0,28,0.0,0,0,7,0,28,2,21,7,0,0,28,0,9.0,7,0,0,28,0,0.0,9.0,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,9,eredivisie,18,13,2,0,1,17,0,0,0,8,0,8,0.0,0,0,8,0,8,6,24,8,0,0,8,0,9.0,8,0,0,8,0,0.0,9.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,9,eredivisie,18,13,0,1,0,1,24,8,0,0,8,0,9.0,8,0,0,8,0,10,0,0,0,8,0,8,0.0,0,0,8,0,8,9.0,0.0,,
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,9,eredivisie,18,13,2,0,2,18,0,0,0,8,0,16,0.0,0,0,8,0,16,4,24,8,0,0,16,0,9.0,8,0,0,16,0,0.0,9.0,,
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,9,eredivisie,18,13,0,2,1,5,24,8,0,0,16,8,9.0,8,0,0,16,8,12,0,0,0,8,8,16,0.0,0,0,8,8,16,9.0,0.0,,
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,9,eredivisie,18,13,0,5,0,2,24,8,0,0,40,0,9.0,8,0,0,40,0,11,0,0,0,8,0,40,0.0,0,0,8,0,40,9.0,0.0,,
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,9,eredivisie,18,13,2,1,2,15,0,0,0,8,8,16,0.0,0,0,8,8,16,3,24,8,0,0,16,8,9.0,8,0,0,16,8,0.0,9.0,,
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,9,eredivisie,18,13,2,0,1,13,0,0,0,8,0,8,0.0,0,0,8,0,8,7,24,8,0,0,8,0,9.0,8,0,0,8,0,0.0,9.0,,
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,9,eredivisie,18,13,0,4,0,8,24,8,0,0,32,0,9.0,8,0,0,32,0,16,0,0,0,8,0,32,0.0,0,0,8,0,32,9.0,0.0,,
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,9,eredivisie,18,13,2,0,4,14,0,0,0,8,0,32,0.0,0,0,8,0,32,9,24,8,0,0,32,0,9.0,8,0,0,32,0,0.0,9.0,,
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,10,eredivisie,18,13,2,0,1,11,0,0,0,9,0,9,0.0,0,0,9,0,9,5,27,9,0,0,9,0,9.0,9,0,0,9,0,0.0,9.0,,
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,10,eredivisie,18,13,0,1,0,1,27,9,0,0,9,0,9.0,9,0,0,9,0,14,0,0,0,9,0,9,0.0,0,0,9,0,9,9.0,0.0,,
