Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,3,segunda_liga,18,11,2,1,2,12,0,0,0,2,2,4,0.0,0,0,2,2,4,7,6,2,0,0,4,2,5.4,2,0,0,4,2,0.0,5.4,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,3,segunda_liga,18,11,2,0,2,16,0,0,0,2,0,4,0.0,0,0,2,0,4,1,6,2,0,0,4,0,5.4,2,0,0,4,0,0.0,5.4,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,3,segunda_liga,18,11,0,5,1,2,6,2,0,0,10,2,5.4,2,0,0,10,2,15,0,0,0,2,2,10,0.0,0,0,2,2,10,5.4,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,3,segunda_liga,18,11,0,5,0,6,6,2,0,0,10,0,5.4,2,0,0,10,0,14,0,0,0,2,0,10,0.0,0,0,2,0,10,5.4,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,3,segunda_liga,18,11,2,0,1,18,0,0,0,2,0,2,0.0,0,0,2,0,2,3,6,2,0,0,2,0,5.4,2,0,0,2,0,0.0,5.4,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,3,segunda_liga,18,11,0,3,1,4,6,2,0,0,6,2,5.4,2,0,0,6,2,13,0,0,0,2,2,6,0.0,0,0,2,2,6,5.4,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,4,segunda_liga,18,11,0,2,1,5,9,3,0,0,6,3,7.2,3,0,0,6,3,17,0,0,0,3,3,6,0.0,0,0,3,3,6,7.2,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,4,segunda_liga,18,11,1,2,2,11,3,0,3,0,6,6,2.4,0,3,0,6,6,9,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,4,segunda_liga,18,11,1,2,2,10,3,0,3,0,6,6,2.4,0,3,0,6,6,8,3,0,3,0,6,6,2.4,0,3,0,6,6,2.4,2.4,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,4,segunda_liga,18,11,2,1,2,12,0,0,0,3,3,6,0.0,0,0,3,3,6,7,9,3,0,0,6,3,7.2,3,0,0,6,3,0.0,7.2,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,4,segunda_liga,18,11,2,0,2,16,0,0,0,3,0,6,0.0,0,0,3,0,6,1,9,3,0,0,6,0,7.2,3,0,0,6,0,0.0,7.2,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,4,segunda_liga,18,11,0,5,1,2,9,3,0,0,15,3,7.2,3,0,0,15,3,15,0,0,0,3,3,15,0.0,0,0,3,3,15,7.2,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,4,segunda_liga,18,11,0,5,0,6,9,3,0,0,15,0,7.2,3,0,0,15,0,14,0,0,0,3,0,15,0.0,0,0,3,0,15,7.2,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,4,segunda_liga,18,11,2,0,1,18,0,0,0,3,0,3,0.0,0,0,3,0,3,3,9,3,0,0,3,0,7.2,3,0,0,3,0,0.0,7.2,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,4,segunda_liga,18,11,0,3,1,4,9,3,0,0,9,3,7.2,3,0,0,9,3,13,0,0,0,3,3,9,0.0,0,0,3,3,9,7.2,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,5,segunda_liga,18,11,0,2,1,5,12,4,0,0,8,4,8.4,4,0,0,8,4,17,0,0,0,4,4,8,0.0,0,0,4,4,8,8.4,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,5,segunda_liga,18,11,1,2,2,8,4,0,4,0,8,8,2.8,0,4,0,8,8,10,4,0,4,0,8,8,2.8,0,4,0,8,8,2.8,2.8,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,5,segunda_liga,18,11,1,2,2,9,4,0,4,0,8,8,2.8,0,4,0,8,8,11,4,0,4,0,8,8,2.8,0,4,0,8,8,2.8,2.8,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,5,segunda_liga,18,11,2,1,2,12,0,0,0,4,4,8,0.0,0,0,4,4,8,7,12,4,0,0,8,4,8.4,4,0,0,8,4,0.0,8.4,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,5,segunda_liga,18,11,2,0,2,16,0,0,0,4,0,8,0.0,0,0,4,0,8,1,12,4,0,0,8,0,8.4,4,0,0,8,0,0.0,8.4,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,5,segunda_liga,18,11,0,5,1,2,12,4,0,0,20,4,8.4,4,0,0,20,4,15,0,0,0,4,4,20,0.0,0,0,4,4,20,8.4,0.0,,
