Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,5,segunda_liga,18,11,0,5,0,6,12,4,0,0,20,0,8.4,4,0,0,20,0,14,0,0,0,4,0,20,0.0,0,0,4,0,20,8.4,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,5,segunda_liga,18,11,2,0,1,18,0,0,0,4,0,4,0.0,0,0,4,0,4,3,12,4,0,0,4,0,8.4,4,0,0,4,0,0.0,8.4,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,5,segunda_liga,18,11,0,3,1,4,12,4,0,0,12,4,8.4,4,0,0,12,4,13,0,0,0,4,4,12,0.0,0,0,4,4,12,8.4,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,6,segunda_liga,18,11,0,2,1,5,15,5,0,0,10,5,9.0,5,0,0,10,5,17,0,0,0,5,5,10,0.0,0,0,5,5,10,9.0,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,6,segunda_liga,18,11,1,2,2,11,5,0,5,0,10,10,3.0,0,5,0,10,10,9,5,0,5,0,10,10,3.0,0,5,0,10,10,3.0,3.0,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,6,segunda_liga,18,11,1,2,2,10,5,0,5,0,10,10,3.0,0,5,0,10,10,8,5,0,5,0,10,10,3.0,0,5,0,10,10,3.0,3.0,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,6,segunda_liga,18,11,2,1,2,12,0,0,0,5,5,10,0.0,0,0,5,5,10,7,15,5,0,0,10,5,9.0,5,0,0,10,5,0.0,9.0,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,6,segunda_liga,18,11,2,0,2,16,0,0,0,5,0,10,0.0,0,0,5,0,10,1,15,5,0,0,10,0,9.0,5,0,0,10,0,0.0,9.0,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,6,segunda_liga,18,11,0,5,1,2,15,5,0,0,25,5,9.0,5,0,0,25,5,15,0,0,0,5,5,25,0.0,0,0,5,5,25,9.0,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,6,segunda_liga,18,11,0,5,0,6,15,5,0,0,25,0,9.0,5,0,0,25,0,14,0,0,0,5,0,25,0.0,0,0,5,0,25,9.0,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,6,segunda_liga,18,11,2,0,1,18,0,0,0,5,0,5,0.0,0,0,5,0,5,3,15,5,0,0,5,0,9.0,5,0,0,5,0,0.0,9.0,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,6,segunda_liga,18,11,0,3,1,4,15,5,0,0,15,5,9.0,5,0,0,15,5,13,0,0,0,5,5,15,0.0,0,0,5,5,15,9.0,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,7,segunda_liga,18,11,0,2,1,5,18,6,0,0,12,6,9.0,6,0,0,12,6,17,0,0,0,6,6,12,0.0,0,0,6,6,12,9.0,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,7,segunda_liga,18,11,1,2,2,8,6,0,6,0,12,12,3.0,0,6,0,12,12,10,6,0,6,0,12,12,3.0,0,6,0,12,12,3.0,3.0,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,7,segunda_liga,18,11,1,2,2,9,6,0,6,0,12,12,3.0,0,6,0,12,12,11,6,0,6,0,12,12,3.0,0,6,0,12,12,3.0,3.0,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,7,segunda_liga,18,11,2,1,2,12,0,0,0,6,6,12,0.0,0,0,6,6,12,7,18,6,0,0,12,6,9.0,6,0,0,12,6,0.0,9.0,,
CF Estrela,Mafra,0-2,https://www.besoccer.com/match/cf-estrela-de-amadora/mafra/202235042,2022,7,segunda_liga,18,11,2,0,2,16,0,0,0,6,0,12,0.0,0,0,6,0,12,1,18,6,0,0,12,0,9.0,6,0,0,12,0,0.0,9.0,,
Rio Ave,Académica,5-1,https://www.besoccer.com/match/rio-ave/academica/202235035,2022,7,segunda_liga,18,11,0,5,1,2,18,6,0,0,30,6,9.0,6,0,0,30,6,15,0,0,0,6,6,30,0.0,0,0,6,6,30,9.0,0.0,,
Benfica II,Nacional,5-0,https://www.besoccer.com/match/benfica-ii/nacional/202235037,2022,7,segunda_liga,18,11,0,5,0,6,18,6,0,0,30,0,9.0,6,0,0,30,0,14,0,0,0,6,0,30,0.0,0,0,6,0,30,9.0,0.0,,
Vilafranquense,Penafiel,0-1,https://www.besoccer.com/match/vilafranquense/penafiel/202235043,2022,7,segunda_liga,18,11,2,0,1,18,0,0,0,6,0,6,0.0,0,0,6,0,6,3,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Leixões,Farense,3-1,https://www.besoccer.com/match/leixoes/farense/202235038,2022,7,segunda_liga,18,11,0,3,1,4,18,6,0,0,18,6,9.0,6,0,0,18,6,13,0,0,0,6,6,18,0.0,0,0,6,6,18,9.0,0.0,,
Academico Viseu,Casa Pia,2-1,https://www.besoccer.com/match/academico-viseu/casa-pia/202235039,2022,8,segunda_liga,18,11,0,2,1,5,21,7,0,0,14,7,9.0,7,0,0,14,7,17,0,0,0,7,7,14,0.0,0,0,7,7,14,9.0,0.0,,
Varzim,Chaves,2-2,https://www.besoccer.com/match/varzim/chaves/202235040,2022,8,segunda_liga,18,11,1,2,2,11,7,0,7,0,14,14,3.0,0,7,0,14,14,9,7,0,7,0,14,14,3.0,0,7,0,14,14,3.0,3.0,,
Porto II,Trofense,2-2,https://www.besoccer.com/match/porto-ii/trofense/202235041,2022,8,segunda_liga,18,11,1,2,2,10,7,0,7,0,14,14,3.0,0,7,0,14,14,8,7,0,7,0,14,14,3.0,0,7,0,14,14,3.0,3.0,,
Feirense,SC Covilha ,1-2,https://www.besoccer.com/match/feirense/sporting-covilha/202235036,2022,8,segunda_liga,18,11,2,1,2,12,0,0,0,7,7,14,0.0,0,0,7,7,14,7,21,7,0,0,14,7,9.0,7,0,0,14,7,0.0,9.0,,
