Home_Team,Away_Team,Result,Link,Season,Round,League
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,7,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,7,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,7,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,7,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,7,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,7,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,7,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,7,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,7,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,8,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,8,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,8,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,8,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,8,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,8,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,8,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,8,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,8,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,8,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,8,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,8,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,9,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,9,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,9,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,9,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,9,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,9,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,9,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,9,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,9,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,9,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,9,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,9,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,10,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,10,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,10,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,10,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,10,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,10,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,10,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,10,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,10,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,10,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,10,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,10,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,11,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,11,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,11,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,11,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,11,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,11,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,11,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,11,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,11,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,11,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,11,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,11,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,12,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,12,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,12,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,12,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,12,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,12,championship
